id,ext:score,title,status,packaging,text-representation-language,text-representation-script,artist-credit-name,artist-credit-artist-id,artist-credit-artist-name,artist-credit-artist,sort-name,release-group-id,release-group-type,release-group-title,release-group-primary-type,date,country,release-event-list-date,release-event-list-area-id,release-event-list-area-name,release-event-list-area-sort-name,release-event-list-area-iso-3166-1-code-list,label-info-list-catalog-number,label-info-list-label-id,label-info-list-label-name,medium-list-format,medium-list-disc-list,medium-list-disc-count,medium-list-track-list,medium-list-track-count,medium-track-count,medium-count,tag-list,artist-credit-phrase,score,artist-credit-artist-sort-name,index,pitchfork-score,title_,genres,album-popularity,artist-popularity,followers,top-genre
9e68f88b-f2c6-35bd-a317-f32a8911f598,100.0,Cosmogramma,Official,None,eng,Latn,Flying Lotus,fc7376fe-1a6f-4414-b4a7-83f50ed59c92,Flying Lotus,,,ddae2c76-1433-4a9a-be05-3447bda75eee,Album,Cosmogramma,Album,2010-05-03,GB,2010-05-03,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom,GB,WARPCDD195,46f0f4cd-8aab-4b33-b698-f459faf64190,Warp,Digital Media,[],0.0,[],17.0,17.0,1.0,[],Flying Lotus,8.0,Flying Lotus,0.0,8.8,Cosmogramma,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'indietronica', 'intelligent dance music', 'jazztronica', 'wonky']",55,64,515231,afrofuturism
01b800a2-6531-485b-b27e-273d8bae2040,100.0,Throat,Official,,eng,Latn,Little Women,8d1a469a-d8f8-4bb7-8b69-2b2521fb7f48,Little Women,,,80150717-fad9-402c-9db6-510274ab7b1d,Album,Throat,Album,2010-04-13,US,2010-04-13,489ce91b-6658-3307-9877-795b68554c98,United States,United States,US,AUM061,bbf3078f-2479-49d5-8a65-7e0923a8c42f,AUM Fidelity,CD,[],1.0,[],7.0,7.0,1.0,[],Little Women,9.0,Little Women,1.0,0.0,Throat,['dancehall'],40,36,3455,dancehall
3c539be4-6d9c-4fec-9599-59e817882ca5,100.0,Latin Latin Latin,Official,,eng,Latn,James Last,0b7ee619-16ed-4e60-b871-6a2111c12b76,James Last,,,e3428a7a-464c-4108-b1c1-d297a90bf52c,Album,Latin Latin Latin,Album,1979,JP,1979,2db42837-c832-3c27-b4a3-08198f75693c,Japan,Japan,JP,MP 3096,ce24ab18-1bd6-4293-a486-546d13d6a5e2,Polydor,"12"" Vinyl",[],0.0,[],14.0,14.0,1.0,[],James Last,7.0,"Last, James",2.0,0.0,Latin Latin Latin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",66,82,9135004,dance pop
91ff62e9-1f67-471f-a654-9e6089b1f425,100.0,High Violet,Official,None,eng,Latn,The National,664c3e0e-42d8-48c1-b209-1efca19c0325,The National,,,1ce57f6a-62c8-4017-ad38-3339f542faae,Album,High Violet,Album,2010-05-10,JP,2010-05-10,2db42837-c832-3c27-b4a3-08198f75693c,Japan,Japan,JP,,a539bb1e-f2e1-4b45-9db8-8053841e7503,4AD,Digital Media,[],0.0,[],13.0,13.0,1.0,[],The National,6.0,"National, The",3.0,8.7,High Violet,"['chamber pop', 'indie rock', 'modern rock']",61,73,1152708,chamber pop
bbb78b34-49dd-3f20-b442-96686e3c4e74,100.0,At Echo Lake,Official,,eng,Latn,Woods,42a1253e-0efc-45e8-b627-ff802fb9e9ee,Woods,,,cdbd77bd-a1a0-4418-b110-6b8b4265fd73,Album,At Echo Lake,Album,2010-05-04,US,2010-05-04,489ce91b-6658-3307-9877-795b68554c98,United States,United States,US,WOODSIST040,f4b10497-515a-459b-a01b-3667eb8170e8,Woodsist,Cassette,[],0.0,[],11.0,11.0,1.0,[],Woods,8.0,Woods,4.0,8.0,At Echo Lake,"['brooklyn indie', 'freak folk', 'garage psych', 'indie rock', 'modern folk rock', 'neo-psychedelic', 'noise pop', 'stomp and holler']",25,45,67778,brooklyn indie
1e6d874d-55bc-48ff-8aa4-5d2f971257c6,100.0,together not together,Official,None,eng,Latn,winter sisters,c18c5cd9-c6cc-430f-8fd0-702f148eb5f1,winter sisters,,,088966b5-503e-410a-9275-4fce4b8e9b4e,Album,together not together,Album,2017-03-19,XW,2017-03-19,525d4e18-3d00-31b9-a58b-a146a916de8f,[Worldwide],[Worldwide],XW,,157afde4-4bf5-4039-8ad2-5a15acc85176,[no label],Digital Media,[],0.0,[],10.0,10.0,1.0,"[{'count': '1', 'name': 'singer-songwriter'}, {'count': '1', 'name': 'folk'}, {'count': '1', 'name': 'experimental'}, {'count': '1', 'name': 'queer'}, {'count': '1', 'name': 'lo-fi'}]",winter sisters,7.0,winter sisters,5.0,0.0,together not together,"['indie rock', 'power pop']",47,58,125523,indie rock
8eb2b179-643d-3507-b64c-29fcc6745156,100.0,Sea of Cowards,Official,Jewel Case,eng,Latn,The Dead Weather,334bd887-9044-4c38-aebd-4baab851efb4,The Dead Weather,,,e62abeb3-f062-406c-9296-7d6e914869eb,Album,Sea of Cowards,Album,2010-05-10,GB,2010-05-10,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom,GB,9362-49665-2,c595c289-47ce-4fba-b999-b87503e8cb71,Warner Bros. Records,CD,[],4.0,[],12.0,12.0,1.0,[],The Dead Weather,5.0,"Dead Weather, The",6.0,7.8,Sea of Cowards,"['alternative rock', 'blues rock', 'dance-punk', 'garage rock', 'indie rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",52,52,307083,alternative rock
f4ff70fd-2908-4540-9246-5922aa48987c,100.0,This Is Happening,Official,Jewel Case,eng,Latn,LCD Soundsystem,2aaf7396-6ab8-40f3-9776-a41c42c8e26b,LCD Soundsystem,,,8898e5eb-48aa-4eea-8569-d3a2e9adaf02,Album,This Is Happening,Album,2010,AU,2010,106e0bec-b638-3b37-b731-f53d507dc00e,Australia,Australia,AU,50999 640225 2 9,32d02635-98fc-4405-94e1-e5b06f9d2025,DFA Records,CD,[],1.0,[],9.0,9.0,1.0,[],LCD Soundsystem,9.0,LCD Soundsystem,7.0,9.2,This Is Happening,"['alternative dance', 'alternative rock', 'dance-punk', 'electronic rock', 'electronica', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']",65,68,695515,alternative dance
bafd5537-c81a-4762-a310-ee41845d0e10,100.0,Brothers,Official,,eng,Latn,The Evolution,73a8806b-cbf5-48b3-9e70-75a148b55597,The Evolution,,,38126215-6abf-3df8-864c-5138e91987f4,Single,Brothers,Single,2006-06-11,FI,2006-06-11,6a264f94-6ff1-30b1-9a81-41f7bfabd616,Finland,Finland,FI,,,,Digital Media,[],0.0,[],1.0,1.0,1.0,[],The Evolution,7.0,"Evolution, The",8.0,0.0,Brothers,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",69,78,3133887,alternative rock
09855083-1ab3-3696-b9e0-aeb62a517269,100.0,Treats,Official,Jewel Case,eng,Latn,Sleigh Bells,95f7536d-b2f7-4087-8668-a663ec201f5a,Sleigh Bells,,,4089b4e7-eef7-4433-838f-1ca531754cf6,Album,Treats,Album,2010-06-01,US,2010-06-01,489ce91b-6658-3307-9877-795b68554c98,United States,United States,US,016-2,e30c6170-fcd5-4c30-9b89-bd1bdcbcaa5f,Mom + Pop Music,CD,[],3.0,[],11.0,11.0,1.0,[],Sleigh Bells,3.0,Sleigh Bells,9.0,8.7,Treats,"['alternative dance', 'art pop', 'brooklyn indie', 'dance-punk', 'electropop', 'escape room', 'experimental pop', 'indie pop', 'indie rock', 'indie surf', 'indietronica', 'modern rock', 'new rave', 'noise pop', 'shimmer pop']",55,54,210097,alternative dance
