,title,artist,review_date,review_type,score,word_score,best_tracks,worst_track,link
0,Cosmogramma,Flying Lotus,2010-05-05,Album,8.0,,[],,https://www.youtube.com/watch?v=KCuamde9Atc
1,Throat,Little Women,2010-05-09,Album,9.0,,[],,https://www.youtube.com/watch?v=cndwH6byJnk
2,Latin,Holy Fuck,2010-05-10,Album,7.0,,[],,https://www.youtube.com/watch?v=ySXryTlo9Ac
3,High Violet,The National,2010-05-11,Album,6.0,,[],,https://www.youtube.com/watch?v=DuMUDldrG3g
4,At Echo Lake, Woods,2010-05-12,Album,8.0,,[],,https://www.youtube.com/watch?v=ncrpTX6jR5w
5,Together,The New Pornographers,2010-05-13,Album,7.0,,[],,https://www.youtube.com/watch?v=Lfw6vPZAUtc
6,Sea of Cowards,The Dead Weather,2010-05-16,Album,5.0,,[],,https://www.youtube.com/watch?v=v_7WlMvv50I
7,This Is Happening,LCD Soundsystem,2010-05-17,Album,9.0,,[],,https://www.youtube.com/watch?v=3Hbhb5CGEB0
8,Brothers,The Black Keys,2010-05-18,Album,7.0,,[],,https://www.youtube.com/watch?v=0zMQS8YxYNA
9,Treats,Sleigh Bells,2010-05-19,Album,3.0,,[],,https://www.youtube.com/watch?v=1aJXrwCX20U
10,Hippies, Harlem,2010-05-20,Album,7.0,,"['Someday Soon ', 'Number One ', 'Friendly Ghost']",,https://www.youtube.com/watch?v=DxDiyg9IMKU
11,Maniac Meat, Tobacco,2010-05-25,Album,7.0,,"['Sweatmother ', 'New Juices From the Hot Tub Freaks ', 'Creepy Phone Calls ', 'Constellation Dirtbike Head']",,https://www.youtube.com/watch?v=wwikVZU7CfA
12,Portal of Sorrow, Xasthur,2010-05-26,Album,4.0,,"['THIS ABYSS HOLDS THE MIRROR ', 'MOURNING TOMORROW ', 'STREAM OF SUBCONSCIOUSNESS']",,https://www.youtube.com/watch?v=OElyc_yZU54
13,LP4, Ratatat,2010-05-28,Album,8.0,,[],,https://www.youtube.com/watch?v=-l_acNr2uMo
14,OJ Simpson,Guilty Simpson,2010-05-31,Album,6.0,,"['O . J . SIMPSON ', ""CORONER'S MUSIC "", 'OUTSIDE ', 'MIC CHECK']",,https://www.youtube.com/watch?v=LEuxWZ_0zwc
15,Innerspeaker,Tame Impala,2010-06-01,Album,6.0,,"['ALTER EGO ', 'LUCIDITY ', 'DESIRE BE DESIRE GO']",,https://www.youtube.com/watch?v=t70fklNoFBI
16,The Bride Screamed Murder, Melvins,2010-06-02,Album,5.0,,"['ELECTRIC FLOWER ', 'EVIL NEW WAR GOD ', ""I'LL FINISH YOU OFF""]",,https://www.youtube.com/watch?v=pzsUK9Iq4DU
17,Fever,Sleepy Sun,2010-06-03,Album,7.0,,"['MARINA ', 'OPEN EYES ', 'SANDSTORM WOMAN']",,https://www.youtube.com/watch?v=7Hq8WgQ-6Gs
18,Pigeons,Here We Go Magic,2010-06-06,Album,7.0,,"['COLLECTOR ', 'F . F . A . P . ', 'LAND OF FEELING ', 'SURPRISE ', 'OLD WORLD UNITED']",,https://www.youtube.com/watch?v=Wj_P3CQUXZE
19,Before Today,Ariel Pink's Haunted Graffiti,2010-06-07,Album,8.0,,"['MENOPAUSE MAN ', 'ROUND AND ROUND ', 'BRIGHT LIT BLUE SKIES ', ""CAN'T HEAR MY EYES""]",,https://www.youtube.com/watch?v=S4HW7jmRXeE
20,Wild Smile, Suckers,2010-06-08,Album,7.0,,"['MARTHA ', ""IT GETS YOUR BODY MOVIN ' "", 'LOOSE CHANGE ', 'SAVE YOUR LOVE FOR ME ', 'BEFORE YOUR BIRTHDAY ENDS']",,https://www.youtube.com/watch?v=A38cOUWdK9k
21,Self-Titled,The Drums,2010-06-10,Album,8.0,,"['BEST FRIEND ', ""LET'S GO SURFING "", 'IT WILL ALL END IN TEARS ', 'WE TRIED']",,https://www.youtube.com/watch?v=cUXCNgJSmzU
22,Total Life Forever, Foals,2010-06-12,Album,4.0,,[],,https://www.youtube.com/watch?v=vFozdNxwJZM
23,Becoming A Jackal, Villagers,2010-06-16,Album,6.0,,"['BECOMING A JACKAL ', 'HOME ', 'PIECES ', 'THE MEANING OF THE RITUAL']",,https://www.youtube.com/watch?v=95i8EtUH7q8
24,Clinging To A Scheme,The Radio Dept.,2010-06-17,Album,8.0,,"['NEVER FOLLOW SUIT ', 'DAVID ', 'DOMESTIC SCENE']",,https://www.youtube.com/watch?v=pkcnbD9DT6o
25,Something For Everybody, Devo,2010-06-17,Album,6.0,,[],,https://www.youtube.com/watch?v=Gko3qhyrBAw
26,Sex Dreams and Denim Jeans, Uffie,2010-06-19,Album,2.0,,[],,https://www.youtube.com/watch?v=LwDNWYvFpYs
