title_,genres,album-popularity,artist-popularity,followers,top-genre
Cosmogramma,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'indietronica', 'intelligent dance music', 'jazztronica', 'wonky']",55,64,515231,afrofuturism
Throat,['dancehall'],40,36,3455,dancehall
Latin Latin Latin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",66,82,9135004,dance pop
High Violet,"['chamber pop', 'indie rock', 'modern rock']",61,73,1152708,chamber pop
At Echo Lake,"['brooklyn indie', 'freak folk', 'garage psych', 'indie rock', 'modern folk rock', 'neo-psychedelic', 'noise pop', 'stomp and holler']",25,45,67778,brooklyn indie
together not together,"['indie rock', 'power pop']",47,58,125523,indie rock
Sea of Cowards,"['alternative rock', 'blues rock', 'dance-punk', 'garage rock', 'indie rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",52,52,307083,alternative rock
This Is Happening,"['alternative dance', 'alternative rock', 'dance-punk', 'electronic rock', 'electronica', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']",65,68,695515,alternative dance
Brothers,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",69,78,3133887,alternative rock
Treats,"['alternative dance', 'art pop', 'brooklyn indie', 'dance-punk', 'electropop', 'escape room', 'experimental pop', 'indie pop', 'indie rock', 'indie surf', 'indietronica', 'modern rock', 'new rave', 'noise pop', 'shimmer pop']",55,54,210097,alternative dance
Hippies,"['garage pop', 'indie garage rock', 'noise pop', 'tucson indie']",48,44,36418,garage pop
Maniac Meat,"['abstract hip hop', 'freak folk', 'noise pop']",37,44,54054,abstract hip hop
Portal of Sorrow,"['atmospheric black metal', 'autonomous black metal', 'black metal', 'depressive black metal', 'drone metal', 'pagan black metal', 'usbm']",13,33,29303,atmospheric black metal
LP4,"['alternative dance', 'dance-punk', 'new rave']",50,70,491185,alternative dance
OJ Simpson,['Unknown'],31,40,111,Unknown
Innerspeaker,"['australian psych', 'neo-psychedelic']",62,88,3385550,australian psych
The Bride Screamed Murder,"['alternative metal', 'alternative rock', 'doom metal', 'garage rock', 'grunge', 'industrial rock', 'noise rock', 'post-hardcore', 'post-metal', 'punk', 'rock', 'sludge metal', 'stoner metal', 'stoner rock']",16,55,201962,alternative metal
Fever Fever,"['alternative dance', 'art pop', 'electronica', 'electropop', 'new rave', 'swedish electropop', 'swedish synth', 'swedish synthpop']",51,58,295149,alternative dance
Pigeons,['jam band'],55,55,68058,jam band
Before Today,"['alternative dance', 'alternative rock', 'art pop', 'art rock', 'chamber pop', 'chillwave', 'dream pop', 'experimental pop', 'freak folk', 'indie garage rock', 'indie pop', 'indie rock', 'la indie', 'lo-fi', 'neo-psychedelic', 'new rave', 'new weird america', 'noise pop', 'nu gaze']",55,63,224841,alternative dance
Wild Smile,"['baroque pop', 'brooklyn indie']",25,20,3246,baroque pop
Self Titled,['Unknown'],40,44,2949,Unknown
Total Life Forever,"['garage rock', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'oxford indie', 'rock']",46,73,1006211,garage rock
Becoming a Jackal,"['chamber pop', 'indie folk', 'indie rock', 'neo mellow', 'singer-songwriter', 'stomp and holler']",30,64,150905,chamber pop
Clinging to a Scheme,"['chillwave', 'dream pop', 'indie pop', 'indietronica', 'lund indie', 'metropopolis', 'modern dream pop', 'noise pop', 'nu gaze', 'shoegaze', 'swedish indie pop']",41,54,93650,chillwave
Something for Everybody,"['adult standards', 'rock-and-roll', 'rockabilly']",38,82,3915211,adult standards
Sex Dreams and Denim Jeans,"['alternative dance', 'bmore', 'electropop', 'escape room', 'hyperpop', 'new rave']",39,54,48380,alternative dance
The ArchAndroid,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'dance pop', 'electropop', 'escape room', 'neo soul', 'pop', 'r&b']",57,73,833618,afrofuturism
Homeland,['texas country'],55,58,40733,texas country
Does It Look Like I'm Here?,"['berlin school', 'cleveland indie', 'drone', 'hauntology']",31,27,10751,berlin school
Cloud Cuckooland,['Unknown'],8,7,229,Unknown
Expo 86,"['alternative rock', 'art pop', 'canadian indie', 'chamber pop', 'dance-punk', 'experimental pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'noise pop', 'quebec indie', 'stomp and holler']",37,55,111198,alternative rock
How I Got Over,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'philly rap', 'southern hip hop']",56,67,851138,alternative hip hop
King of the Beach,"['dance-punk', 'garage rock', 'indie garage rock', 'indie punk', 'indie rock', 'indie surf', 'lo-fi', 'noise pop', 'noise rock', 'nu gaze', 'san diego indie']",51,55,194690,dance-punk
The People's Record,['swedish indie pop'],9,35,11837,swedish indie pop
Sir Lucious Left Foot… The Son of Chico Dusty,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']",47,64,267385,atl hip hop
Desert Fires,['Unknown'],0,0,10,Unknown
Urgency,"['metropopolis', 'shimmer pop']",11,32,12795,metropopolis
Mount Wittenberg Orca,"['art pop', 'brooklyn indie', 'chamber pop', 'experimental pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'noise pop', 'stomp and holler']",34,54,193273,art pop
Maya Maya,['turbo folk'],50,53,26437,turbo folk
The Way Out,"['chamber pop', 'collage pop', 'experimental pop', 'experimental rock', 'folktronica', 'freak folk', 'lo-fi', 'noise pop']",43,47,55074,chamber pop
Cerulean.,['Unknown'],54,48,64,Unknown
Paramatma,"['abstract beats', 'vapor twitch', 'wonky']",15,39,20770,abstract beats
Crazy for You,"['indie pop', 'indie rock', 'indie surf', 'indietronica', 'la indie', 'metropopolis', 'noise pop', 'nu gaze']",53,60,263958,indie pop
Gemini Gemini,"['baroque', 'early music', 'italian baroque']",41,40,7020,baroque
Dark Night of the Soul,"['classify', 'focus', 'new age', 'new age piano']",55,53,29522,classify
The Suburbs,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",70,73,1680704,alternative dance
Rohnert Park CD,['Unknown'],0,0,0,Unknown
The Budos Band III,"['afrobeat', 'ethio-jazz', 'funk', 'instrumental funk', 'instrumental soul', 'soul']",44,56,98154,afrobeat
Transit Transit,"['dance-punk', 'dream pop', 'noise pop', 'nu gaze', 'shoegaze']",23,39,32859,dance-punk
Afro-Beat Airways: West African Shock Waves 1972-1979,['Unknown'],0,0,0,Unknown
Summit,['progressive house'],37,52,2569,progressive house
The Final Frontier,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",38,78,5117486,album rock
Four More Years,"['chillwave', 'indie dream pop', 'indietronica', 'nu gaze', 'vancouver indie']",15,49,35793,chillwave
All Delighted People EP,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",43,76,996597,baroque pop
Treasure State,"['classical percussion', 'classical performance', 'modern performance']",12,30,4659,classical percussion
Surfing the Void,"['alternative dance', 'dance-punk', 'garage rock', 'indie rock', 'indietronica', 'modern rock', 'new rave']",30,56,201850,alternative dance
Special Moves,"['british post-rock', 'cosmic post-rock', 'post-rock']",13,58,389998,british post-rock
Memphis,"['atl trap', 'memphis hip hop', 'trap']",54,61,19353,atl trap
Illumination,"['alternative dance', 'australian dance', 'australian electropop', 'chillwave', 'dance-punk', 'electroclash', 'filter house', 'indie pop', 'indie poptimism', 'indie soul', 'indietronica', 'new rave', 'nu disco', 'shimmer pop']",48,59,193812,alternative dance
Lawless Darkness,"['black metal', 'black thrash', 'dark black metal', 'death metal', 'metal', 'pagan black metal', 'swedish black metal', 'swedish metal', 'symphonic black metal']",39,43,81055,black metal
Patagonian Rats,"['instrumental math rock', 'math pop', 'math rock']",23,37,35349,instrumental math rock
Hurley,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",49,78,1942812,alternative rock
False Priest,"['alternative dance', 'alternative rock', 'anti-folk', 'art pop', 'athens indie', 'baroque pop', 'chamber pop', 'dance-punk', 'e6fi', 'experimental pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'new rave', 'noise pop', 'stomp and holler']",35,59,213708,alternative dance
Penny Sparkle,"['art pop', 'dance-punk', 'dream pop', 'indie rock', 'shoegaze']",39,57,189766,art pop
Grinderman 2,"['garage rock', 'punk blues']",35,46,73842,garage rock
Lisbon,"['alternative rock', 'chamber pop', 'dance-punk', 'freak folk', 'garage rock', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'noise pop', 'stomp and holler']",33,53,134754,alternative rock
Business Casual,"['alternative dance', 'dance-punk', 'disco house', 'electropop', 'filter house', 'indietronica', 'new rave']",44,63,299146,alternative dance
In Evening Air,"['alternative dance', 'baltimore indie', 'chamber pop', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock']",50,64,381014,alternative dance
Album of the Year,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",57,91,10342481,conscious hip hop
Wilderness Heart,"['canadian psychedelic rock', 'garage rock', 'modern blues rock', 'neo-psychedelic', 'space rock', 'stoner rock', 'vancouver indie']",38,47,79656,canadian psychedelic rock
Pattern+Grid World,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'indietronica', 'intelligent dance music', 'jazztronica', 'wonky']",29,64,515231,afrofuturism
My Father Will Guide Me Up a Rope to the Sky,"['alternative rock', 'art pop', 'art rock', 'dark jazz', 'experimental', 'experimental rock', 'freak folk', 'industrial', 'industrial rock', 'no wave', 'noise pop', 'noise rock', 'post-punk', 'post-rock', 'slow core']",23,53,153228,alternative rock
Halcyon Digest,"['alternative dance', 'alternative rock', 'art pop', 'atlanta indie', 'chamber pop', 'chillwave', 'dance-punk', 'dream pop', 'experimental rock', 'freak folk', 'garage psych', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'noise rock', 'nu gaze', 'shoegaze', 'slow core']",63,61,273782,alternative dance
Unsilent Death,['chaotic hardcore'],42,45,58363,chaotic hardcore
Everything in Between,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock']",42,49,62285,acoustic pop
Le Noise,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter']",30,75,1708100,album rock
Public Strain,"['chamber pop', 'dance-punk', 'dream pop', 'experimental rock', 'freak folk', 'garage psych', 'lo-fi', 'math rock', 'noise pop', 'noise rock', 'nu gaze', 'popgaze', 'post-rock', 'shoegaze', 'slow core']",41,38,19357,chamber pop
King Night,['grave wave'],37,38,38450,grave wave
Sometimes the Blues Is Just a Passing Bird,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",49,64,549103,chamber pop
Crush,"['glam metal', 'rock']",73,83,7450424,glam metal
Forget,"['electropop', 'indie poptimism', 'indietronica', 'new french touch', 'tropical house', 'vapor soul']",56,70,116684,electropop
Record Collection,"['dance pop', 'pop']",53,82,769712,dance pop
The Age of Adz,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",56,76,996597,baroque pop
Play It Strange,['garage pop'],32,29,14844,garage pop
Holkham Drones,"['abstract idm', 'microhouse']",31,33,14827,abstract idm
Epic,"['latin', 'reggaeton', 'reggaeton flow']",86,87,1672054,latin
Down There,"['art pop', 'chamber pop', 'experimental pop', 'freak folk', 'noise pop']",27,41,24467,art pop
Death Gate,['wonky'],14,44,67865,wonky
Come Around Sundown,"['modern rock', 'rock']",69,80,4156905,modern rock
Face Tat,"['experimental rock', 'math rock', 'noise rock']",40,35,21576,experimental rock
Black City,"['alternative dance', 'electronica', 'experimental pop', 'microhouse', 'minimal techno']",30,49,49900,alternative dance
The Fool,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'shimmer pop']",53,51,161792,electropop
Special Affections,['metropopolis'],23,24,8185,metropopolis
Satan Worshipping Doom,"['doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'psychedelic doom', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']",29,37,38242,doom metal
New Chain,"['alternative dance', 'art pop', 'chillwave', 'dream pop', 'electropop', 'experimental pop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'new rave', 'nu gaze', 'shimmer pop']",32,51,72474,alternative dance
Love Remains,['Unknown'],55,49,34235,Unknown
Black Masses,"['doom metal', 'drone metal', 'psychedelic doom', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock', 'uk doom metal']",33,51,162531,doom metal
Small Craft on a Milk Sea,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'dance rock', 'drone', 'experimental', 'experimental rock', 'fourth world', 'glam rock', 'minimalism']",58,67,384410,ambient
"Shut Up, Dude","['comedy rap', 'escape room']",41,40,45883,comedy rap
Man on the Moon II: The Legend of Mr. Rager,"['hip hop', 'pop rap', 'rap']",74,82,3526299,hip hop
Lucky Shiner,"['bass music', 'chillwave', 'electronica', 'future garage', 'indietronica', 'microhouse', 'wonky']",45,49,165784,bass music
Sidewalks,"['brooklyn indie', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern rock', 'shimmer pop', 'stomp and holler']",46,61,336863,brooklyn indie
